ID,Nama Pekerjaan,Bidang Pekerjaan,Deskripsi Diri
53,Event Stock Inventory,Logistik,"Bertanggung jawab atas pengelolaan stok barang dan peralatan untuk acara, melakukan pemantauan yang cermat untuk memastikan kelancaran dan kesiapan logistik."
54,Event Stock Inventory,Logistik,"Menangani inventarisasi dan pengawasan stok barang khusus untuk acara tertentu, memastikan segala persiapan terpenuhi sesuai dengan kebutuhan acara yang diadakan."
55,Content Creator,Media,"Menghasilkan konten yang kreatif dan menarik, baik itu tulisan, gambar, video, atau audio, sesuai dengan kebutuhan platform digital atau strategi pemasaran yang ditetapkan."
56,Content Creator,Media,"Menciptakan konten yang menginspirasi dan informatif, menggunakan berbagai format untuk menjangkau dan terhubung dengan audiens secara efektif."
57,Content Creator,Media,"Menyusun dan mengembangkan ide konten yang orisinal serta relevan, sesuai dengan target audiens dan tujuan bisnis yang ingin dicapai."
58,Pengajar Matematika (Freelance),Pendidikan,"Mendukung siswa dalam memahami konsep matematika dengan pendekatan yang adaptif dan kreatif, meningkatkan pemahaman mereka melalui metode pengajaran yang menarik."
59,Pengajar Matematika (Freelance),Pendidikan,"Memberikan bimbingan matematika yang personal dan fleksibel kepada siswa, membantu mereka menguasai konsep-konsep matematika dengan lebih baik sesuai dengan gaya belajar masing-masing."
60,Pengajar Matematika (Freelance),Pendidikan,"Menyediakan layanan pengajaran matematika mandiri yang berfokus pada pengembangan pemahaman konsep, mempersiapkan siswa secara efisien sesuai dengan kurikulum yang berlaku."
61,Daily Worker - Cook Helper,Pelayanan,"Membantu dalam persiapan bahan makanan dan alat dapur, serta menunjang proses memasak dengan cermat dan efisien."
62,Daily Worker - Cook Helper,Pelayanan,"Menjadi bagian integral dalam tim dapur dengan mendukung kelancaran proses memasak, membantu dalam penyajian, dan memastikan ketersediaan bahan-bahan."
63,Daily Worker - Cook Helper,Pelayanan,"Mendukung pekerjaan dapur dengan teliti, membantu mempersiapkan dan menyajikan hidangan sesuai dengan standar yang ditetapkan."
64,Bartender (DW),Pelayanan,"Menyiapkan dan menyajikan minuman dengan kreativitas dan presisi sesuai dengan standar, serta memberikan layanan yang ramah kepada pelanggan."
65,Bartender (DW),Pelayanan,"Bertanggung jawab atas operasional bar, termasuk pemeliharaan, persiapan bahan minuman, dan menyajikan minuman dengan keahlian yang tinggi."
66,Bartender (DW),Pelayanan,"Memberikan pengalaman bersantap yang memuaskan dengan menyajikan minuman yang berkualitas tinggi, menjaga kebersihan, dan memberikan pelayanan yang responsif kepada pelanggan."
67,Petugas Kebersihan Kolam (DW),Pelayanan,"Bertanggung jawab atas pemeliharaan kebersihan kolam renang, termasuk pembersihan, pengawasan kualitas air, dan penjagaan area sekitarnya."
68,Petugas Kebersihan Kolam (DW),Pelayanan,"Menjaga ketersediaan fasilitas dan perlengkapan kolam renang, serta memastikan lingkungan sekitar kolam tetap bersih dan aman."
69,Petugas Kebersihan Kolam (DW),Pelayanan,"Melakukan tugas-tugas rutin dalam menjaga kebersihan kolam renang dengan teliti, memastikan lingkungan yang nyaman dan aman bagi para pengguna fasilitas kolam."
70,Order Taker DW,Pelayanan,"Menerima pesanan dari pelanggan dengan ramah dan akurat, memastikan kebutuhan mereka terpenuhi."
71,Order Taker DW,Pelayanan,Menyampaikan pesanan dengan tepat kepada departemen terkait untuk diproses dengan efisiensi.
72,Order Taker DW,Pelayanan,Menjaga catatan pesanan dengan teliti dan menjalankan proses pengambilan pesanan dengan kecepatan dan akurasi.
73,Pustakawan Freelence,Pelayanan,"Menjalankan sistem peminjaman dan pengembalian buku, memberikan pelayanan yang ramah dan bermanfaat kepada pengunjung perpustakaan."
74,Pustakawan Freelence,Pelayanan,"Mengelola koleksi buku dan sumber informasi, menyusunnya dengan rapi serta memberikan bantuan kepada pengunjung dalam menemukan bahan yang mereka butuhkan."
75,Pustakawan Freelence,Pelayanan,"Melakukan tugas administratif seperti pendataan, inventarisasi koleksi, serta menjaga kelancaran operasional perpustakaan."
76,Restaurant Crew (Freelence),Pelayanan,"Memberikan dukungan dalam berbagai fungsi restoran, mulai dari melayani pelanggan, membersihkan area, hingga membantu dalam proses persiapan makanan dan minuman."
77,Restaurant Crew (Freelence),Pelayanan,"Menyediakan pelayanan yang ramah kepada pelanggan, menjaga kebersihan area restoran, serta mendukung kelancaran operasional secara umum."
78,Restaurant Crew (Freelence),Pelayanan,"Berperan dalam berbagai aspek operasional restoran, siap untuk berkontribusi di berbagai bagian sesuai kebutuhan, baik itu layanan kepada pelanggan maupun tugas-tugas dapur."
79,Pengajar/ Tentor Bahasa Inggris Program SAT/IUP/KKI,Pendidikan,Memberikan pengajaran bahasa Inggris dengan fokus pada kurikulum program SAT/IUP/KKI untuk mempersiapkan siswa menghadapi ujian atau program tersebut.
80,Pengajar/ Tentor Bahasa Inggris Program SAT/IUP/KKI,Pendidikan,"Menyusun materi pelajaran yang sesuai dengan kurikulum ujian yang diujikan (seperti SAT), membantu siswa memahami tata bahasa, kosakata, dan keterampilan Bahasa Inggris yang diperlukan."
81,Pengajar/ Tentor Bahasa Inggris Program SAT/IUP/KKI,Pendidikan,"Memberikan bimbingan yang personal kepada siswa, membantu mereka mempersiapkan diri secara efektif untuk ujian Bahasa Inggris yang diperlukan dalam program seperti SAT/IUP/KKI."
82,Dishwasher DW,Pelayanan,"Menjaga kebersihan peralatan dapur dan peralatan makanan dengan cermat dan efisien, termasuk pencucian, pengeringan, dan penataan kembali peralatan."
83,Dishwasher DW,Pelayanan,"Mendukung kelancaran operasional dapur dengan memastikan kebersihan peralatan selalu terjaga, siap untuk digunakan pada saat diperlukan."
84,Dishwasher DW,Pelayanan,"Melaksanakan tugas-tugas pencucian peralatan dengan teliti, memastikan ketersediaan peralatan yang bersih dan steril bagi keperluan dapur."
85,Driver Logistic SIM B2 Umum,Logistik,"Mengemudikan kendaraan pengiriman dengan SIM B2 Umum secara aman dan bertanggung jawab, mengantar barang sesuai dengan jadwal dan lokasi yang ditentukan."
86,Driver Logistic SIM B2 Umum,Logistik,"Menjaga kendaraan dalam kondisi yang baik, memastikan kebersihan dan perawatan rutin untuk kelancaran operasional dalam mengantarkan barang."
87,Driver Logistic SIM B2 Umum,Logistik,"Melaksanakan tugas logistik pengiriman, mematuhi regulasi lalu lintas, dan menyampaikan barang dengan tepat waktu serta memastikan keselamatan dalam perjalanan."
88,Tukang Pembuatan Pot,Pertukangan,"Membuat pot dengan keahlian dan kreativitas, menggunakan berbagai bahan dan teknik pembuatan pot yang sesuai dengan desain yang diinginkan."
89,Tukang Pembuatan Pot,Pertukangan,"Mengolah material menjadi pot dengan presisi dan ketelitian, memberikan sentuhan estetika dan keunikan pada setiap karya yang dihasilkan."
90,Tukang Pembuatan Pot,Pertukangan,Memastikan kualitas dan kekuatan pot yang dihasilkan serta memperhatikan detail desain yang diperlukan sesuai dengan permintaan atau spesifikasi yang ada.
91,Tukang Kebun,Pertukangan,mengatur dan merawat taman atau kebun dengan menanam dan merawat tanaman serta bunga
92,Tukang Kebun,Pertukangan,"Merawat dan memelihara kebersihan taman, melakukan pemotongan rumput, penyiraman tanaman, dan membersihkan area taman secara berkala."
93,Tukang Kebun,Pertukangan,"Memberikan saran atau rekomendasi mengenai perawatan tanaman, pemilihan tanaman yang sesuai dengan kondisi lingkungan, serta pengelolaan taman secara keseluruhan."
94,Public Area (DW),Pelayanan,"Menjaga kebersihan area publik secara teratur, termasuk membersihkan lantai, mengatur ulang perabotan, serta merawat taman atau area terbuka."
95,Public Area (DW),Pelayanan,"Memastikan area umum tetap rapi dan terorganisir, dengan fokus pada kebersihan dan presentasi yang baik bagi para pengguna fasilitas."
96,Public Area (DW),Pelayanan,"Melakukan tugas-tugas kebersihan yang diperlukan secara rutin, memastikan lingkungan publik terjaga dengan baik agar pengalaman penggunaan fasilitas tetap nyaman bagi pengunjung."
97,Pembantu Rumah Tangga,Pelayanan,"Menjaga kebersihan rumah, melakukan tugas-tugas seperti membersihkan lantai, membersihkan perabotan, dan merapikan area rumah."
98,Pembantu Rumah Tangga,Pelayanan,"Melakukan pekerjaan rutin seperti mencuci pakaian, menyetrika, dan merapikan kamar tidur atau area lainnya."
99,Pembantu Rumah Tangga,Pelayanan,"Mungkin juga membantu dalam memasak atau tugas-tugas lain sesuai kebutuhan keluarga, serta mendukung kelancaran rumah tangga secara umum."
100,Satpam (Security),Pelayanan,"Melakukan patroli rutin untuk mengawasi keamanan area, memastikan tidak adanya kegiatan mencurigakan atau gangguan keamanan."
101,Satpam (Security),Pelayanan,"Memantau sistem keamanan seperti kamera CCTV atau sistem alarm, dan merespons kejadian darurat atau situasi yang memerlukan perhatian."
102,Satpam (Security),Pelayanan,"Memberikan layanan keamanan kepada penghuni atau pengunjung, serta memastikan aturan keamanan dan protokol keselamatan dipatuhi."
103,Guru Private Calistung,Pendidikan,"Memberikan pengajaran yang personal dan terfokus kepada anak-anak dalam belajar membaca, menulis, dan berhitung sesuai dengan tingkat perkembangan mereka."
104,Guru Private Calistung,Pendidikan,"Menciptakan metode pembelajaran yang menarik dan cocok untuk setiap siswa, membantu mereka memahami dan menguasai dasar-dasar pengetahuan."
105,Guru Private Calistung,Pendidikan,"Melakukan evaluasi kemajuan siswa secara berkala, serta memberikan bimbingan tambahan atau latihan untuk memastikan pemahaman yang baik dalam calistung."
106,Soundman - Daily Worker,Media,"Mengatur dan mengoperasikan peralatan audio seperti mixer, mikrofon, dan speaker untuk menciptakan kualitas suara yang optimal sesuai kebutuhan acara."
107,Soundman - Daily Worker,Media,"Memastikan kelancaran teknis suara selama acara, termasuk melakukan penyesuaian yang diperlukan, mengatasi masalah teknis, dan memonitor kualitas suara."
108,Soundman - Daily Worker,Media,"Merawat peralatan audio dengan baik, melakukan pengecekan, perawatan rutin, dan memastikan semua peralatan dalam kondisi yang siap pakai untuk setiap keperluan produksi."
109,Technician - Daily Worker,Teknisi,"Melakukan perbaikan atau pemeliharaan peralatan teknis seperti mesin, peralatan listrik, atau perangkat lainnya sesuai instruksi atau permintaan."
110,Technician - Daily Worker,Teknisi,"Menginstalasi atau memasang peralatan baru, memastikan kelancaran fungsionalitasnya, serta melakukan pengujian untuk memastikan kinerjanya sesuai standar."
111,Technician - Daily Worker,Teknisi,"Memberikan dukungan teknis saat diperlukan, menangani masalah atau kerusakan peralatan, serta merawat peralatan secara berkala untuk menjaga fungsionalitasnya."
112,Bell Driver (DW),Pelayanan,Mengangkut bagasi atau barang bawaan tamu dari tempat parkir ke area kamar hotel atau sebaliknya dengan ramah dan efisien.
113,Bell Driver (DW),Pelayanan,Memberikan layanan penjemputan atau pengantaran tamu ke tempat parkir atau area pemberhentian transportasi dengan keramahan dan kehati-hatian.
114,Bell Driver (DW),Pelayanan,"Menyediakan bantuan kepada tamu dalam mengatur bagasi mereka, memberikan informasi dasar tentang fasilitas hotel, dan memberikan layanan yang membantu selama kedatangan atau keberangkatan tamu."
115,Cashier Event,Administratif,"Melakukan transaksi penjualan tiket atau barang dengan efisien dan akurat selama berlangsungnya acara, serta menerima pembayaran dari pengunjung."
116,Cashier Event,Administratif,"Menangani kas dan menjaga ketersediaan uang tunai yang cukup selama acara, memastikan kelancaran transaksi keuangan."
117,Cashier Event,Administratif,"Memberikan pelayanan yang ramah kepada pengunjung, menjawab pertanyaan mereka tentang harga, produk, atau tiket acara, serta memberikan resi atau bukti transaksi dengan akurat."
118,Bellman (DW),Pelayanan,"Membantu tamu dengan barang-barang mereka, membawa bagasi, dan memberikan informasi tentang fasilitas hotel atau area sekitarnya dengan ramah."
119,Bellman (DW),Pelayanan,"Memberikan bantuan dalam hal penjemputan atau pengantaran tamu dari dan ke kendaraan mereka, memberikan arahan atau informasi umum tentang transportasi."
120,Bellman (DW),Pelayanan,"Memberikan layanan yang membantu dan profesional kepada tamu, memberikan penjelasan tentang fasilitas hotel, dan membantu dalam menjaga kepuasan tamu selama mereka menginap."
121,Co-Host Live Streamer,Media,"Berkolaborasi dengan host utama untuk menyajikan konten yang menarik dan interaktif, berpartisipasi dalam percakapan, dan memastikan alur siaran tetap menarik."
122,Co-Host Live Streamer,Media,"Mengelola interaksi dengan penonton, menjawab pertanyaan, membaca komentar, dan mengarahkan percakapan agar tetap positif dan terlibat dengan audiens."
123,Co-Host Live Streamer,Media,"Memberikan kontribusi yang kreatif dalam penyampaian konten, menyampaikan ide, dan menghadirkan konten tambahan yang dapat meningkatkan pengalaman menonton."
124,Perawat hewan peliharaan,Pelayanan,"Pemeriksaan kesehatan dan perawatan harian hewan peliharaan, termasuk memberikan makanan, minuman, perawatan kebersihan, dan pemberian obat-obatan yang diperlukan."
125,Perawat hewan peliharaan,Pelayanan,"Memantau kondisi kesehatan hewan, mendeteksi perubahan perilaku atau masalah kesehatan, serta memberikan perawatan yang sesuai atau merujuk ke dokter hewan jika diperlukan."
126,Perawat hewan peliharaan,Pelayanan,"Memberikan nasihat kepada pemilik hewan tentang perawatan yang tepat, diet, latihan fisik, serta memberikan dukungan emosional bagi hewan peliharaan yang sedang sakit atau dalam pemulihan."
127,Host Live Freelance,Media,"Memimpin acara langsung dengan keahlian presentasi, menjaga alur siaran agar menarik, interaktif, dan menghibur bagi penonton."
128,Host Live Freelance,Media,"Berinteraksi dengan penonton secara langsung, merespons pertanyaan, komentar, atau permintaan, serta membangun ikatan dengan audiens."
129,Host Live Freelance,Media,"Mengembangkan konten yang menarik, menghadirkan ide kreatif, dan menciptakan pengalaman menonton yang unik dan menghibur bagi pemirsa."
130,Checker Gudang,Logistik,"Memeriksa barang yang masuk ke gudang pabrik atau kantor, memastikan kesesuaian jumlah, kualitas, dan spesifikasi dengan dokumen yang ada serta mengkoordinasikan penerimaan barang dengan departemen terkait."
131,Checker Gudang,Logistik,"Mencatat informasi terkait stok barang, melakukan pencatatan yang akurat mengenai penerimaan, pengeluaran, dan jumlah stok yang tersedia, serta melakukan pemantauan terhadap pergerakan barang."
132,Checker Gudang,Logistik,"Memeriksa dan mempersiapkan barang yang akan dikirim keluar, memastikan kelengkapan pesanan, mengontrol proses pengiriman, dan melakukan pelaporan terkait ketersediaan stok atau kebutuhan restock kepada pihak terkait."
133,Guru Pivate English,Pendidikan,"Menyesuaikan metode pengajaran dengan gaya belajar individu siswa, fokus pada kemampuan mendengarkan, berbicara, membaca, dan menulis dalam bahasa Inggris."
134,Guru Pivate English,Pendidikan,"Memberikan bahan ajar yang relevan dengan kebutuhan siswa, membantu mereka memahami tata bahasa, meningkatkan kosa kata, dan meningkatkan kepercayaan diri dalam berkomunikasi."
135,Guru Pivate English,Pendidikan,"Membuat penilaian berkala terhadap kemajuan siswa, memberikan umpan balik yang konstruktif, serta merancang program pembelajaran yang dapat membantu mencapai tujuan belajar siswa dalam bahasa Inggris."
136,Offline & Online Event Support,Pelayanan,"Mendukung persiapan dan pelaksanaan acara, baik secara fisik di lokasi maupun melalui platform online, termasuk pengaturan ruang, teknis, dan administrasi yang diperlukan."
137,Offline & Online Event Support,Pelayanan,"Menyediakan dukungan teknis untuk platform online yang digunakan dalam acara, memastikan kelancaran siaran, interaksi dengan audiens, dan memecahkan masalah teknis yang mungkin terjadi."
138,Offline & Online Event Support,Pelayanan,"Membantu dalam manajemen acara secara keseluruhan, mulai dari persiapan pra-acara, koordinasi selama acara berlangsung, hingga evaluasi pasca-acara baik untuk acara offline maupun online."
139,Packing Daily Worker,Logistik,"Mengemas barang sesuai dengan standar yang ditetapkan, memastikan kesesuaian antara jumlah, kualitas, dan jenis barang dengan pesanan yang diterima."
140,Packing Daily Worker,Logistik,"Melakukan pengecekan terhadap kelayakan barang sebelum dikemas, serta mempersiapkan barang untuk pengiriman dengan pengemasan yang aman dan sesuai standar."
141,Packing Daily Worker,Logistik,"Memastikan ketersediaan bahan kemasan dan alat-alat yang diperlukan untuk proses packing, serta melaporkan setiap masalah atau kebutuhan kepada atasan sesuai kebijakan yang berlaku."
142,Kuli Kernet Serabutan,Logistik,"Menyediakan dukungan logistik dengan kemampuan beragam, termasuk pengaturan barang, pengiriman, pengemasan, dan bahkan tugas administratif yang terkait dengan logistik."
143,Kuli Kernet Serabutan,Logistik,"Mampu beradaptasi dalam berbagai situasi, baik itu membantu dalam distribusi barang, mengatur perjalanan pengiriman, atau bahkan membantu dalam proses administrasi terkait logistik."
144,Kuli Kernet Serabutan,Logistik,"Terbiasa bekerja dengan berbagai jenis barang atau dalam berbagai lingkungan logistik, seperti gudang, transportasi, atau fasilitas penyimpanan."
145,Daily Worker Sorter Harian,Logistik,"Melakukan sortir barang sesuai dengan kategori, jenis, atau spesifikasi yang ditentukan dengan teliti dan cermat."
146,Daily Worker Sorter Harian,Logistik,"Menjalankan tugas sortir barang dengan efisiensi, memastikan keakuratan dalam penempatan barang sesuai dengan sistem atau prosedur yang telah ditetapkan."
147,Daily Worker Sorter Harian,Logistik,"Mampu bekerja dengan target harian dalam menyelesaikan proses sortir, menjaga kualitas dan kecepatan dalam penataan barang sesuai dengan standar yang ditetapkan."
148,Pengajar Harian SMP & SMA,Pendidikan,"Menyampaikan materi pelajaran dengan jelas dan menarik, sesuai dengan kurikulum yang berlaku di tingkat SMP dan SMA."
149,Pengajar Harian SMP & SMA,Pendidikan,"Membuat rencana pembelajaran yang efektif, termasuk menyiapkan bahan ajar, tugas, dan ujian, serta mengevaluasi kemajuan siswa secara berkala."
150,Pengajar Harian SMP & SMA,Pendidikan,"Memberikan bimbingan dan dukungan kepada siswa, menjawab pertanyaan mereka, serta membantu mempersiapkan ujian dan ujian lainnya sesuai kebutuhan."
151,Pengajar Piano,Pendidikan,"Mengajar keterampilan dasar seperti teori musik, teknik bermain piano, membaca not balok, dan melatih telinga dalam memahami melodi."
152,Pengajar Piano,Pendidikan,"Merencanakan dan menyusun program pembelajaran yang sesuai dengan tingkat kemampuan masing-masing murid, serta memilih repertoar yang cocok dengan minat dan perkembangan mereka."
153,Pengajar Piano,Pendidikan,"Memberikan umpan balik konstruktif kepada murid, mengidentifikasi area yang perlu diperbaiki, dan memberikan motivasi agar murid terus berkembang dalam bermain piano."
154,Pengajar Keyboard,Pendidikan,"Menyesuaikan pembelajaran sesuai dengan kebutuhan dan minat murid, memilih repertoar yang sesuai dan memberikan pendekatan yang personal dalam membimbing kemajuan mereka."
