ID,Bidang Pekerjaan,Deskripsi Diri
80,Perikanan,"Saya memiliki pengalaman sebagai asisten nelayan, mampu membantu nelayan dalam berbagai tugas, termasuk menyiapkan alat pancing dan membantu menangkap ikan."
81,Perkebunan,"Saya memiliki kemampuan dalam memetik tanaman di kebun dengan cepat dan akurat seperti buah, kopi, atau daun teh.."
82,Perkebunan,Saya memiliki kemampuan untuk menanam dan merawat bibit tanaman setiap hari.
83,Perkebunan,Saya memiliki kemampuan untuk melakukan berbagai tugas di lahan perkebunan.
84,Teknisi,"Saya memiliki kemampuan dalam melakukan penambangan atau pengerukan, termasuk mengoperasikan peralatan penambangan dan memastikan keamanan dan efisiensi proses penambangan."
85,Teknisi,"Saya memiliki kemampuan untuk mengoperasikan peralatan tambang, termasuk mesin pengeboran, alat berat, dan peralatan pengangkutan."
86,Logistik,"Saya memiliki kemampuan dalam penanganan material, termasuk memuat, membongkar, dan mengangkut material tambang."
87,Pelayanan,Saya memiliki kemampuan dalam mencuci pakaian di laundry setiap hari dengan cepat dan akurat.
88,Pelayanan,Saya memiliki kemampuan dalam mengeringkan pakaian atau tekstil dengan efisien dan aman.
89,Logistik,Saya memiliki kemampuan dalam memaketkan pakaian di laundry dengan cepat dan akurat.
90,Logistik,"Saya memiliki kemampuan dalam bekerja di dock, termasuk memuat dan membongkar barang dari kapal."
91,Logistik,Saya memiliki kemampuan dalam memuat barang ke kapal dengan cepat dan akurat.
92,Pelayanan,"Saya memiliki kemampuan dalam menjaga kebersihan pelabuhan, termasuk membersihkan dan merawat berbagai area dan fasilitas pelabuhan."
93,Pertukangan,"Saya memiliki kemampuan dalam bekerja dengan kayu, termasuk memotong, membentuk, dan merakit kayu untuk berbagai proyek."
94,Pertukangan,"Saya memiliki kemampuan dalam bekerja dengan besi atau baja, termasuk memotong, membentuk, dan merakit besi atau baja untuk berbagai proyek."
95,Pertukangan,"Saya memiliki kemampuan dalam mengerjakan proyek pengecatan, termasuk mempersiapkan permukaan, mencampur cat, dan menerapkan cat dengan rapi."
96,Pertukangan,"Saya memiliki kemampuan dalam memasang kaca, termasuk memotong kaca dengan ukuran yang tepat dan memasangnya dengan aman."
97,Pertukangan,"Saya memiliki kemampuan dalam merawat perkakas, termasuk membersihkan, melumasi, dan melakukan perawatan preventif pada perkakas."
98,Pertukangan,"Saya memiliki kemampuan dalam membuat furnitur, termasuk merancang, memotong, dan merakit furnitur."
99,Pertukangan,"Saya memiliki kemampuan dalam pekerjaan pengecoran, termasuk mempersiapkan cetakan, mencampur bahan, dan menuangkan bahan ke dalam cetakan."
100,Pertukangan,"Saya memiliki kemampuan dalam bekerja dengan keramik, termasuk membentuk, menghias, dan membakar keramik."
101,Pertukangan,"Saya memiliki kemampuan dalam memotong pohon, termasuk menentukan arah jatuh yang aman dan menggunakan peralatan pemotongan dengan benar."
102,Pertukangan,"Saya memiliki kemampuan dalam bekerja dengan pipa, termasuk memotong, membentuk, dan memasang pipa."
103,Pertukangan,"Saya memiliki kemampuan dalam membuat furnitur kustom, termasuk merancang, memotong, dan merakit furnitur sesuai dengan spesifikasi pelanggan."
104,Teknisi,"Saya memiliki kemampuan dalam memperbaiki dan merawat komputer, termasuk perangkat keras dan perangkat lunak."
105,Teknisi,"Saya memiliki kemampuan dalam menginstal, mengkonfigurasi, dan memelihara jaringan komputer."
106,Teknisi,"Saya memiliki kemampuan dalam memasang, memperbaiki, dan merawat sistem listrik."
107,Teknisi,"Saya memiliki kemampuan dalam memperbaiki dan merawat handphone dan televisi, termasuk perangkat keras dan perangkat lunak."
108,Teknisi,"Saya memiliki kemampuan dalam memasang, memperbaiki, dan merawat sistem elektrikal."
109,Logistik,Saya memiliki kemampuan fisik yang baik dan mampu mengangkat beban berat.
110,Logistik,Saya memiliki kemampuan dalam menata barang dengan rapi dan efisien.
111,Pelayanan,Saya memiliki kemampuan dalam mengatur dan memantau area parkir.
112,Penjualan,Saya memiliki kemampuan dalam berkomunikasi dan membantu pelanggan menemukan produk yang mereka butuhkan.
113,Administratif,Saya memiliki kemampuan dalam melakukan tugas administratif seperti pencatatan dan pelaporan.
114,Pelayanan,Saya memiliki kemampuan dalam memberikan informasi yang akurat dan membantu orang lain.
115,Pelayanan,Saya memiliki kemampuan dalam merawat dan menjaga anak-anak.
116,Pelayanan,Saya memiliki kemampuan dalam mengantarkan makanan dengan cepat dan tepat waktu.
117,Logistik,Saya memiliki kemampuan dalam mengirim barang dengan aman dan efisien.
118,Kreatif,Saya memiliki kemampuan dalam merancang dan menata dekorasi sesuai keinginan pelanggan.
119,Pelayanan,Saya memiliki kemampuan dalam membantu proses penyajian makanan pada acara katering.
120,Kreatif,Saya memiliki kemampuan dalam menulis berbagai jenis teks dan artikel.
121,Pelayanan,Saya memiliki kemampuan dalam melakukan survey dan mengumpulkan data yang akurat.
122,Manajamen,Saya memiliki kemampuan dalam merencanakan dan melaksanakan strategi pemasaran.
123,Pelayanan,Saya memiliki kemampuan dalam menjaga hubungan baik dengan pelanggan.
124,Pelayanan,Saya memiliki kemampuan dalam membersihkan dan merawat mobil.
125,Teknisi,Saya memiliki kemampuan dalam memperbaiki dan merawat perangkat EDC dan QRIS.
126,Kreatif,Saya memiliki kemampuan dalam melakukan sulam alis dengan teknik rainbrow.
127,Pelayanan,Saya memiliki kemampuan dalam membantu operasional toko.
128,Logistik,Saya memiliki kemampuan dalam mengemudikan sepeda motor.
129,Logistik,Saya memiliki kemampuan dalam mengemudikan mobil.
130,Logistik,Saya memiliki kemampuan dalam membantu pengemudi menemukan rute terbaik.
131,Manajemen,Saya memiliki kemampuan dalam mempromosikan produk kartu kredit.
132,Pendidikan,"Saya memiliki kemampuan dalam mengajar bahasa Mandarin. Saya dapat membantu siswa memahami tata bahasa, kosakata, dan struktur kalimat dalam Bahasa Mandarin."
133,Kreatif,"Saya memiliki kemampuan dalam mengambil foto dengan teknik yang baik. Saya dapat merencanakan, merekam, dan mengedit foto untuk berbagai tujuan, seperti promosi, dokumentasi, atau hiburan."
134,Pelayanan,Saya memiliki kemampuan dalam melakukan pengiriman dan survey merchant. Saya dapat memastikan bahwa barang dikirim dengan tepat waktu dan melakukan survey untuk mendapatkan feedback dari merchant.
135,Penjualan,Saya memiliki kemampuan dalam menjual produk melalui telepon. Saya dapat berkomunikasi dengan baik dan meyakinkan pelanggan untuk membeli produk.
136,Pelayanan,Saya memiliki kemampuan dalam melakukan penagihan secara langsung. Saya dapat berkomunikasi dengan baik dan menyelesaikan masalah terkait penagihan dengan profesional.
137,Pelayanan,Saya memiliki kemampuan dalam menjaga kebersihan dan ketertiban kantor serta membantu para karyawan yang bekerja.
138,Pelayanan,Saya memiliki kemampuan dalam memberikan terapi dan perawatan kepada klien.
139,Pelayanan,Saya memiliki kemampuan dalam menjaga booth dan melayani pelanggan.
140,Administratif,Saya memiliki kemampuan dalam melakukan tugas administratif di departemen teknik.
141,Pelayanan,Saya memiliki kemampuan dalam membantu proses pembuatan produk pastry.
142,Pelayanan,Saya memiliki kemampuan dalam menjaga kebersihan pantai. Saya dapat memastikan bahwa pantai tetap bersih dan aman untuk pengunjung.
143,Pelayanan,Saya memiliki kemampuan dalam mengelola aktivitas rekreasi. Saya dapat merencanakan dan mengkoordinasikan berbagai aktivitas rekreasi untuk memastikan pengalaman yang menyenangkan bagi peserta.
144,Administratif,"Saya memiliki kemampuan dalam melakukan tugas administratif dan mendukung operasional kantor. Saya dapat mengelola jadwal, membuat laporan, dan melakukan tugas administratif lainnya."
145,Administratif,Saya memiliki kemampuan dalam memasukkan data dengan cepat dan akurat.
146,Administratif,Saya memiliki kemampuan dalam melayani pelanggan dan menyelesaikan masalah mereka.
147,Administratif,Saya memiliki kemampuan dalam mengelola sumber daya manusia dan melakukan tugas HR secara remote.
148,Manajemen,Saya memiliki kemampuan dalam mengelola akun media sosial dan mempromosikan produk atau layanan.
149,Pelayanan,Saya memiliki kemampuan dalam memandu dan mengelola tour wisata. Saya juga mampu merencanakan dan mengkoordinasikan jadwal dan memberikan informasi yang berguna dan menarik kepada wisatawan.
150,Pendidikan,Saya memiliki kemampuan dalam mengajar matematika. Saya dapat menjelaskan konsep matematika dengan cara yang mudah dimengerti dan membantu siswa dalam mempersiapkan ujian dan tugas.
151,Pendidikan,Saya memiliki kemampuan dalam mengajar IPS. Saya dapat membantu siswa memahami berbagai topik dalam IPS dan mengembangkan pemahaman mereka tentang dunia di sekitar mereka.
152,Pendidikan,Saya memiliki kemampuan dalam mengajar fisika. Saya dapat membantu siswa memahami hukum fisika dan menerapkannya dalam berbagai konteks.
153,Pendidikan,"Saya memiliki kemampuan dalam mengajar Bahasa Indonesia. Saya dapat membantu siswa memahami tata bahasa, kosakata, dan struktur kalimat dalam Bahasa Indonesia."
154,Pendidikan,Saya memiliki kemampuan dalam mengajar gambar. Saya dapat membantu siswa mengembangkan keterampilan menggambar mereka dan mendorong kreativitas mereka.
155,Teknisi,"Saya memiliki kemampuan dalam memperbaiki dan merawat mesin pendingin. Saya dapat mendiagnosis dan memperbaiki masalah, melakukan perawatan rutin, dan memastikan mesin berfungsi dengan baik."
156,Pertukangan,Saya memiliki kemampuan dalam membangun dan merenovasi bangunan.
157,Pertukangan,Saya memiliki kemampuan dalam melakukan pengelasan dengan presisi.
158,Kreatif,Saya memiliki kemampuan dalam melakukan sablon pada berbagai media.
159,Pertukangan,Saya memiliki kemampuan dalam mengoperasikan mesin bubut dan membuat komponen dengan presisi.
160,Kreatif,Saya memiliki kemampuan dalam membuat pola untuk pakaian atau produk tekstil lainnya.
161,Kreatif,Saya memiliki kemampuan dalam menjahit pakaian dan produk tekstil lainnya.
162,Pelayanan,Saya memiliki kemampuan dalam memotong dan merapikan rambut pelanggan.
163,Pelayanan,"Saya memiliki kemampuan dalam membersihkan, mengkilapkan, atau melapisi permukaan benda untuk membuatnya tampak lebih mengkilap, atau baru."
